




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (18547)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
chloroplast fission (GO:0010020)	24	24	16.20	+	1.48	1.04E-04	9.22E-04
chloroplast rRNA processing (GO:1901259)	24	24	16.20	+	1.48	1.04E-04	9.21E-04
L-leucine metabolic process (GO:0006551)	24	24	16.20	+	1.48	1.04E-04	9.19E-04
GPI anchor biosynthetic process (GO:0006506)	24	24	16.20	+	1.48	1.04E-04	9.18E-04
methionine biosynthetic process (GO:0009086)	24	24	16.20	+	1.48	1.04E-04	9.17E-04
aromatic amino acid family catabolic process (GO:0009074)	24	24	16.20	+	1.48	1.04E-04	9.15E-04
protein targeting to chloroplast (GO:0045036)	24	24	16.20	+	1.48	1.04E-04	9.14E-04
miRNA processing (GO:0035196)	24	24	16.20	+	1.48	1.04E-04	9.12E-04
protein repair (GO:0030091)	24	24	16.20	+	1.48	1.04E-04	9.11E-04
plastid fission (GO:0043572)	24	24	16.20	+	1.48	1.04E-04	9.09E-04
intracellular zinc ion homeostasis (GO:0006882)	14	14	9.45	+	1.48	7.33E-03	3.81E-02
sodium ion transport (GO:0006814)	14	14	9.45	+	1.48	7.33E-03	3.81E-02
response to aluminum ion (GO:0010044)	16	16	10.80	+	1.48	2.46E-03	1.55E-02
positive regulation of seed germination (GO:0010030)	25	25	16.88	+	1.48	1.14E-04	9.88E-04
proton-transporting two-sector ATPase complex assembly (GO:0070071)	17	17	11.48	+	1.48	2.71E-03	1.65E-02
reductive pentose-phosphate cycle (GO:0019253)	14	14	9.45	+	1.48	7.33E-03	3.80E-02
toxin biosynthetic process (GO:0009403)	15	15	10.13	+	1.48	4.17E-03	2.38E-02
plastid transcription (GO:0042793)	15	15	10.13	+	1.48	4.17E-03	2.38E-02
regulation of post-transcriptional gene silencing (GO:0060147)	14	14	9.45	+	1.48	7.33E-03	3.80E-02
cell wall pectin metabolic process (GO:0052546)	34	34	22.95	+	1.48	2.68E-06	3.19E-05
flavin-containing compound metabolic process (GO:0042726)	15	15	10.13	+	1.48	4.17E-03	2.38E-02
phospholipid translocation (GO:0045332)	14	14	9.45	+	1.48	7.33E-03	3.80E-02
carbon fixation (GO:0015977)	15	15	10.13	+	1.48	4.17E-03	2.37E-02
